"","groupe","Energie1","Eau","Proteines1","Glucides","Lipides","Sucres","Fructose","Fibres","Calcium","Chlorure","Cuivre","Fer","Iode","Magnesium","Manganese","Phosphore","Potassium","Selenium","Sodium","Zinc","BetaCarotene","VitamineD","VitamineE","VitamineC"
"Citron vert ou Lime, pulpe, cru","fruits crus",170,86.3,1.13,3.14,0.25,2.1,0.8,4.3,57,10,0.08,0.2,10,14,0.09,24,190,10,6,0.15,12.4,0,0.45,29.3
"Pomme Golden, pulpe, crue","fruits crus",232,85.5,0.25,11.7,0.25,11.3,6.9,2.5,2.8,10,0.03,0.06,10,3.5,0.03,8.8,110,10,2.5,0.05,59.8,0.125,0.04,1.29
"Raisin Chasselas, cru","fruits crus",335,79.4,0.75,16.9,0.5,16.5,8.4,2,16,10,0.08,0.14,10,7.5,0.07,21,150,10,2.5,0.07,27.4,0.125,0.35,4.14
"Pomme Granny Smith, pulpe, crue","fruits crus",227,85.3,0.25,11.4,0.25,10.6,5.8,2.6,3.2,10,0.03,0.08,10,2.9,0.02,7.6,110,10,2.5,0.05,12.8,0.125,0.04,2.21
"Pomme Granny Smith, pulpe et peau, crue","fruits crus",217,85.8,0.25,10.7,0.25,10.1,5.8,2.8,3.2,10,0.04,0.06,10,2.8,0.02,7.6,110,10,2.5,0.05,11.6,0.125,0.04,2.31
"Nectarine ou brugnon, jaune, pulpe et peau, crue","fruits crus",218,86.6,0.69,11.3,0.25,8.8,1.2,0.6,4.8,10,0.06,0.13,10,8,0.05,19,220,10,2.5,0.11,144,0.125,0.04,3.38
"Nectarine ou brugnon, blanche, pulpe et peau, crue","fruits crus",220,86.5,0.81,11.4,0.25,8.9,1.3,0.25,5,10,0.07,0.13,10,8.1,0.06,18,210,10,2.5,0.1,2.5,0.125,1.04,3.01
"Poire Conférence, pulpe, crue","fruits crus",223,85.3,0.25,11.4,0.25,9.4,6.6,3.1,3.9,10,0.05,0.09,10,5.3,0.02,9.3,99,10,2.5,0.07,19.3,0.125,0.04,1.39
"Poire Williams, pulpe, crue","fruits crus",228,84.7,0.25,11.5,0.25,9.4,7.2,3.1,6.1,10,0.05,0.07,10,5.3,0.02,9.8,120,10,2.5,0.09,2.5,0.125,0.04,2.57
"Pomme Chantecler, pulpe, crue","fruits crus",219,86.4,0.25,11.2,0.25,10.8,5.4,1.9,4,10,0.04,0.06,10,3.6,0.03,10,120,10,2.5,0.05,54.6,0.125,0.04,2.85
"Pomme Gala, pulpe, crue","fruits crus",230,85.5,0.25,11.9,0.25,11.1,6.3,1.9,3.6,10,0.03,0.06,10,3,0.02,7.8,91,10,2.5,0.05,11.6,0.125,0.04,1.33
"Pomme Pink lady, pulpe, crue","fruits crus",254,83.6,0.25,12.8,0.25,12.3,6.6,2.9,2.8,10,0.03,0.07,10,3,0.02,7.5,110,10,2.5,0.05,32.3,0.125,0.04,2.13
"Pêche blanche, pulpe et peau, crue","fruits crus",199,87.6,0.69,9.48,0.25,8.7,0.9,2.1,4.1,10,0.06,0.11,10,7.1,0.05,18,180,10,2.5,0.11,2.5,0.125,0.19,3.85
"Pêche blanche, pulpe, crue","fruits crus",195,87.6,0.63,9.63,0.25,7.8,0.8,1.1,3.9,10,0.06,0.12,10,6.8,0.05,18,170,10,2.5,0.1,2.5,0.125,0.28,4.09
"Pêche jaune, pulpe, crue","fruits crus",196,87.8,0.69,9.8,0.25,7.6,1.1,1,4.2,10,0.06,0.11,10,6.7,0.04,17,190,10,2.5,0.09,130,0.125,0.5,3.43
"Pomme Golden, pulpe et peau, crue","fruits crus",242,85.1,0.25,12.8,0.25,11.5,6.9,1.4,4,10,0.04,0.07,10,3.8,0.03,10,130,10,2.5,0.07,56,0.125,0.04,0.25
"Raisin noir Muscat, cru","fruits crus",381,76.7,0.69,20,0.25,19.6,9.8,2.7,13,10,0.12,0.22,10,7.3,0.09,20,210,10,2.5,0.06,67.7,0.125,0.99,3.11
"Fruit cru (aliment moyen)","fruits crus",251,84.5,0.7,11.6,0.26,9.89,3.62,1.97,14.5,33.2,0.059,0.18,6.83,12.1,0.12,20.1,197,7.53,3.45,0.11,314,0.003,0.29,20.9
"Compote de pomme","compotes et assimilés",432,72.9,0.23,24.4,0.21,20.7,7.9,1.53,4.44,10,0.043,0.11,0.2,5.09,0.027,6,104,10,2.5,0.025,3,0,0.18,14.5
"Compote, tout type de fruits, allégée en sucres","compotes et assimilés",279,82.9,0.25,15.3,0.08,14.6,6.92,1.6,6.2,10,0.04,0.14,0.1,5.5,0.08,11,140,10,2.5,0.05,99.3,0.125,0.53,11.5
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""","compotes et assimilés",249,84.2,0.25,13.4,0.25,11.3,7.2,1.7,6.2,10,0.05,0.05,10,6,0.06,11,140,10,2.5,0.05,31,0.125,0.4,16.7
"Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)","compotes et assimilés",340,78.9,0.25,18.6,0.15,16.7,7.33,1.68,7.87,9.68,0.046,0.092,3.72,5.59,0.05,10,132,9.12,1.9,0.033,45.9,0.091,0.45,19.6
"Abricot, dénoyauté, sec","fruits séchés",1010,24.7,2.88,59.1,0.5,34.3,10.6,8.3,71,10,0.45,1.4,10,41,0.27,79,1400,10,2.5,0.35,2160,0.125,5.52,0.25
"Pruneau, sec","fruits séchés",969,34.9,1.63,55.4,0.4,38.1,12.5,5.1,50,10,0.23,0.38,0.8,30,0.25,66,610,10,2.5,0.28,14.9,0.125,0.41,0.25
"Raisin, sec","fruits séchés",1360,16,3,73.2,0.9,70.3,36,4.2,54,10,0.38,1.7,10,35,0.28,82,960,10,5,0.24,2.5,0.125,1.67,0.25
"Mélange apéritif de fruits exotiques, sec","fruits séchés",1640,11.7,2.19,69.5,10.5,59.4,19.5,3.4,43,75.9,0.26,1.1,3,39,0.45,67,530,10,88,0.32,13.6,0.125,0.69,0.69
"Canneberge ou cranberry, séchée, sucrée","fruits séchés",1410,14.6,0.25,76.4,1,72.8,28.4,5.7,8,10,0.04,0.16,10,3.9,0.19,7.5,58,10,2.5,0.05,15.5,0.125,1.92,0.25
"Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)","fruits séchés",846,39.3,2.31,51.1,0.4,29.9,10.3,3.5,53,10,0.29,0.86,10,32,0.19,59,980,10,2.5,0.3,21.7,0.125,3.45,0.25
"Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.)","fruits et leurs produits de la Réunion",376,77.1,0.75,19.3,0.5,18.4,8.65,1.8,14,10,0.08,0.12,10,14,0.07,13,150,10,2.5,0.08,2010,0.125,1.96,2.9
"Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)","fruits et leurs produits de la Réunion",304,81.3,0.94,15.1,0.25,14.9,2.8,2.4,6.3,10,0.07,0.17,10,15,0.2,9.6,130,10,2.5,0.11,21.2,0.125,0.04,18.3
"Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.)","fruits et leurs produits de la Réunion",169,88.6,0.56,7.88,0.25,7.7,3.6,2.2,18,53.2,0.03,0.16,10,12,0.05,11,240,10,2.5,0.09,1230,0.125,0.22,68
