# Program:featureCounts v1.6.1; Command:"featureCounts" "-T" "4" "-t" "gene" "-g" "ID" "-O" "-s" "1" "-a" "Arabidopsis_thaliana.TAIR10.40.gff3" "-o" "results/KO2_feature.out" "results/KO2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/KO2_Aligned.sortedByCoord.out.bam
gene:AT1G01335	1	130736	130858	+	123	0
gene:AT1G01340	1	132270	135924	-	3655	11
gene:AT1G01350	1	136090	138162	+	2073	168
gene:AT1G01355	1	138489	139680	+	1192	1
gene:AT1G01360	1	141870	143261	+	1392	38
gene:AT1G01370	1	143489	146479	+	2991	45
gene:AT1G01380	1	147043	148014	+	972	0
gene:AT1G01390	1	148013	149848	-	1836	0
gene:AT1G01400	1	150689	152210	-	1522	0
gene:AT1G01410	1	153113	154198	+	1086	0
gene:AT1G01420	1	154367	156178	-	1812	5
gene:AT1G01430	1	156477	158823	-	2347	86
gene:AT1G01440	1	159628	162953	-	3326	143
gene:AT1G01450	1	164105	165517	-	1413	60
gene:AT1G01453	1	166589	168088	-	1500	1
gene:AT1G01460	1	168559	171386	+	2828	0
gene:AT1G01470	1	171525	172948	-	1424	167
gene:AT1G01480	1	175706	178406	+	2701	191
gene:AT1G01490	1	180017	182749	-	2733	401
gene:AT1G01500	1	185033	187135	+	2103	34
gene:AT1G01510	1	187145	190472	+	3328	345
gene:AT1G01520	1	190408	192436	+	2029	5
gene:AT1G01530	1	192634	193670	-	1037	0
gene:AT1G01540	1	195645	198787	+	3143	314
gene:AT1G01550	1	199527	201775	+	2249	1356
gene:AT1G01560	1	202103	204440	+	2338	29
gene:AT1G01570	1	204935	207642	+	2708	10
gene:AT1G01580	1	208995	213082	+	4088	3
gene:AT1G01590	1	214150	217734	+	3585	0
gene:AT1G01600	1	218834	221286	+	2453	49
gene:AT1G01610	1	221642	224351	-	2710	438
gene:AT1G01620	1	225665	227543	-	1879	2284
gene:AT1G01630	1	228799	230979	+	2181	331
gene:AT1G01640	1	230908	232630	-	1723	195
gene:AT1G01650	1	232840	237905	-	5066	291
gene:AT1G01660	1	239841	242703	-	2863	24
gene:AT1G01670	1	242713	246054	-	3342	32
gene:AT1G01680	1	246262	248440	-	2179	19
gene:AT1G01690	1	249041	252522	+	3482	58
gene:AT1G01695	1	252626	254530	+	1905	3
gene:AT1G01700	1	259307	261667	-	2361	22
gene:AT1G01710	1	262828	266324	+	3497	247
gene:AT1G01715	1	266333	267883	+	1551	23
gene:AT1G01720	1	267993	269819	+	1827	1234
gene:AT1G01725	1	269792	270859	-	1068	41
gene:AT1G01730	1	270797	272189	+	1393	232
gene:AT1G01740	1	272111	274930	-	2820	91
gene:AT1G01750	1	275188	276310	+	1123	19
gene:AT1G01760	1	276266	278599	-	2334	34
gene:AT1G01770	1	278600	282891	+	4292	278
gene:AT1G01780	1	282761	284245	+	1485	89
gene:AT1G01790	1	284350	291203	+	6854	169
gene:AT1G01800	1	293246	295086	+	1841	247
gene:AT1G01810	1	295207	295859	+	653	9
gene:AT1G01820	1	296001	298334	-	2334	221
gene:AT1G01830	1	298451	302310	-	3860	53
gene:AT1G01840	1	303537	304358	+	822	11
gene:AT1G01860	1	304133	306310	-	2178	38
gene:AT1G01880	1	306467	309541	-	3075	17
gene:AT1G01900	1	310169	313130	+	2962	71
gene:AT1G01910	1	313101	316090	-	2990	270
gene:AT1G01920	1	315983	319667	+	3685	149
gene:AT1G01930	1	319769	322895	-	3127	97
gene:AT1G01940	1	322886	324917	+	2032	101
gene:AT1G01950	1	325316	330619	+	5304	228
gene:AT1G01960	1	330588	337912	-	7325	1080
gene:AT1G01970	1	338241	340088	+	1848	64
gene:AT1G01980	1	340108	342040	-	1933	0
gene:AT1G01990	1	342918	344400	-	1483	163
gene:AT1G02000	1	345516	347603	+	2088	69
gene:AT1G02010	1	347613	352545	+	4933	102
gene:AT1G02020	1	352612	355124	-	2513	90
gene:AT1G02030	1	355124	357258	-	2135	3
gene:AT1G02040	1	357906	359078	-	1173	0
gene:AT1G02050	1	359117	360746	-	1630	46
gene:AT1G02060	1	360918	363142	-	2225	71
gene:AT1G02065	1	365165	367443	+	2279	0
gene:AT1G02067	1	366945	367166	-	222	0
gene:AT1G02070	1	370195	371090	-	896	0
gene:AT1G02080	1	373335	386913	+	13579	2860
gene:AT1G02090	1	387277	389808	-	2532	284
gene:AT1G02100	1	389812	392816	+	3005	198
gene:AT1G02110	1	392831	395528	+	2698	325
gene:AT1G02120	1	395689	400001	+	4313	473
gene:AT1G02130	1	399983	401919	-	1937	233
gene:AT1G02140	1	403100	404456	-	1357	437
gene:AT1G02145	1	404600	408619	+	4020	132
gene:AT1G02150	1	408622	410680	+	2059	277
gene:AT1G02160	1	410744	411632	+	889	85
gene:AT1G02170	1	411664	413554	+	1891	295
gene:AT1G02180	1	413522	414649	-	1128	28
gene:AT1G02190	1	415074	418027	+	2954	1
gene:AT1G02205	1	418416	422579	+	4164	103
gene:AT1G02210	1	427548	427811	-	264	0
gene:AT1G02220	1	428650	430720	-	2071	80
gene:AT1G02230	1	434965	436922	-	1958	9
gene:AT1G02250	1	437860	439559	-	1700	5
gene:AT1G02260	1	440200	442972	-	2773	11
gene:AT1G02270	1	443118	446296	-	3179	105
gene:AT1G02280	1	448423	450426	-	2004	154
gene:AT1G02290	1	450461	452743	-	2283	60
gene:AT1G02300	1	453107	455519	+	2413	89
gene:AT1G02305	1	455688	458164	+	2477	339
gene:AT1G02310	1	458133	460831	-	2699	9
gene:AT1G02320	1	461828	461974	+	147	0
gene:AT1G02330	1	461946	463618	-	1673	182
gene:AT1G02335	1	463754	464981	-	1228	77
gene:AT1G02340	1	465616	467880	-	2265	1
gene:AT1G02350	1	469818	470693	+	876	4
gene:AT1G02360	1	471883	473336	-	1454	113
gene:AT1G02370	1	474373	476612	+	2240	66
gene:AT1G02380	1	476945	479112	+	2168	60
gene:AT1G02390	1	480650	483373	+	2724	2
gene:AT1G02400	1	486800	489651	+	2852	84
gene:AT1G02405	1	489874	490627	-	754	1
gene:AT1G02410	1	490860	492979	+	2120	141
gene:AT1G02420	1	493639	495158	+	1520	25
gene:AT1G02430	1	495050	496332	-	1283	17
gene:AT1G02440	1	496372	497555	-	1184	0
gene:AT1G02450	1	497917	498539	-	623	1
gene:AT1G02460	1	504463	507268	-	2806	15
gene:AT1G02470	1	511765	513721	-	1957	17
gene:AT1G02475	1	513699	515422	-	1724	102
gene:AT1G02490	1	516569	516866	+	298	0
gene:AT1G02500	1	518091	520495	+	2405	5685
gene:AT1G02510	1	520498	521668	-	1171	0
gene:AT1G02520	1	523536	529069	+	5534	126
gene:AT1G02530	1	529679	534677	+	4999	2
gene:AT1G02540	1	534827	535699	-	873	0
gene:AT1G02550	1	536483	537211	+	729	0
gene:AT1G02560	1	537740	540127	+	2388	620
gene:AT1G02570	1	541236	542245	+	1010	0
gene:AT1G02575	1	543011	544057	+	1047	0
gene:AT1G02580	1	544733	549202	+	4470	1
gene:AT1G02590	1	552138	552761	-	624	0
gene:AT1G02610	1	553019	556152	-	3134	60
gene:AT1G02620	1	557092	558774	+	1683	2
gene:AT1G02630	1	560610	562598	-	1989	3
gene:AT1G02640	1	564018	567771	+	3754	396
gene:AT1G02650	1	568558	570554	+	1997	44
gene:AT1G02660	1	571826	575085	-	3260	132
gene:AT1G02670	1	575922	580532	+	4611	13
gene:AT1G02680	1	580625	582310	+	1686	67
gene:AT1G02690	1	584134	587327	+	3194	226
gene:AT1G02700	1	588003	589480	+	1478	0
gene:AT1G02705	1	589584	590406	+	823	3
gene:AT1G02710	1	589706	589996	-	291	3
gene:AT1G02720	1	591682	594264	+	2583	49
gene:AT1G02730	1	594502	598657	-	4156	833
gene:AT1G02740	1	599330	602199	-	2870	59
gene:AT1G02750	1	602489	604387	+	1899	67
gene:AT1G02770	1	604873	606708	-	1836	3
gene:AT1G02780	1	607799	609534	-	1736	4509
gene:AT1G02790	1	610363	612324	-	1962	0
gene:AT1G02800	1	613197	616231	-	3035	0
gene:AT1G02810	1	618061	620502	+	2442	45
gene:AT1G02813	1	620678	621329	+	652	0
gene:AT1G02816	1	621453	623054	+	1602	56
gene:AT1G02820	1	623656	624567	-	912	1
gene:AT1G02830	1	625084	625608	-	525	0
gene:AT1G02840	1	626639	629993	+	3355	761
gene:AT1G02850	1	630374	633420	+	3047	1292
gene:AT1G02860	1	635144	637262	+	2119	176
gene:AT1G02870	1	637214	638681	-	1468	130
gene:AT1G02880	1	642505	644903	-	2399	157
gene:AT1G02890	1	645084	652001	-	6918	1197
gene:AT1G02900	1	653604	654457	-	854	245
gene:AT1G02910	1	655568	658216	-	2649	112
gene:AT1G02920	1	658578	659980	-	1403	623
gene:AT1G02930	1	661088	662475	-	1388	637
gene:AT1G02940	1	662963	664290	-	1328	0
gene:AT1G02950	1	665119	666471	-	1353	184
gene:AT1G02960	1	666807	669919	-	3113	93
gene:AT1G02965	1	671661	672814	-	1154	1
gene:AT1G02970	1	673306	676419	+	3114	32
gene:AT1G02980	1	677360	681378	+	4019	5
gene:AT1G02990	1	681331	687385	-	6055	182
gene:AT1G03000	1	687795	692660	-	4866	254
gene:AT1G03010	1	693190	696504	+	3315	1
gene:AT1G03020	1	697919	698591	-	673	0
gene:AT1G03030	1	701365	703929	+	2565	125
gene:AT1G03040	1	703847	706689	-	2843	480
gene:AT1G03050	1	707485	710041	+	2557	2
gene:AT1G03055	1	710018	711857	-	1840	0
gene:AT1G03060	1	712440	727553	-	15114	864
gene:AT1G03070	1	729830	731565	+	1736	10
gene:AT1G03080	1	731554	738306	-	6753	1172
gene:AT1G03090	1	739544	744184	+	4641	311
gene:AT1G03100	1	743885	746701	-	2817	41
gene:AT1G03103	1	747197	748057	+	861	0
gene:AT1G03106	1	748101	749034	-	934	1
gene:AT1G03110	1	749246	751976	+	2731	85
gene:AT1G03120	1	752191	753140	+	950	3
gene:AT1G03130	1	753307	754262	-	956	218
gene:AT1G03140	1	754261	756303	-	2043	390
gene:AT1G03150	1	756414	758678	+	2265	116
gene:AT1G03160	1	761261	766194	+	4934	297
gene:AT1G03165	1	766336	767324	+	989	0
gene:AT1G03170	1	768376	770684	+	2309	5
gene:AT1G03180	1	773358	775362	+	2005	27
gene:AT1G03190	1	775527	780062	+	4536	121
gene:AT1G03200	1	780519	782946	+	2428	21
gene:AT1G03210	1	782904	784346	+	1443	124
gene:AT1G03220	1	786832	788722	+	1891	5079
gene:AT1G03230	1	789820	791689	+	1870	745
gene:AT1G03240	1	792222	793060	-	839	1
gene:AT1G03250	1	793315	795403	-	2089	116
gene:AT1G03260	1	795449	798491	-	3043	49
gene:AT1G03270	1	799115	802625	+	3511	43
gene:AT1G03280	1	802970	807066	+	4097	325
gene:AT1G03290	1	807361	813216	+	5856	234
gene:AT1G03300	1	811033	813086	-	2054	16
gene:AT1G03310	1	813413	816812	+	3400	199
gene:AT1G03320	1	816989	817767	+	779	0
gene:AT1G03325	1	817053	817178	-	126	0
gene:AT1G03330	1	817934	819563	-	1630	135
gene:AT1G03340	1	819612	821476	+	1865	5
gene:AT1G03350	1	822582	824410	-	1829	246
gene:AT1G03360	1	824517	826399	+	1883	88
gene:AT1G03365	1	826523	830393	+	3871	123
gene:AT1G03370	1	830550	835411	+	4862	300
gene:AT1G03380	1	835767	841373	+	5607	622
gene:AT1G03390	1	841033	842418	-	1386	0
gene:AT1G03395	1	841677	842158	+	482	0
gene:AT1G03400	1	842659	844251	-	1593	28
gene:AT1G03410	1	844436	847683	-	3248	62
gene:AT1G03430	1	847793	849621	+	1829	82
gene:AT1G03440	1	852151	854297	+	2147	39
gene:AT1G03445	1	854410	859701	-	5292	2
gene:AT1G03457	1	860761	864372	-	3612	138
gene:AT1G03470	1	865895	867733	-	1839	77
gene:AT1G03475	1	868853	871308	-	2456	432
gene:AT1G03490	1	871874	872906	+	1033	0
gene:AT1G03495	1	873166	874476	+	1311	41
gene:AT1G03510	1	876087	877556	-	1470	8
gene:AT1G03520	1	877861	880259	-	2399	43
gene:AT1G03530	1	880384	883599	-	3216	130
gene:AT1G03540	1	883683	885611	+	1929	12
gene:AT1G03550	1	885623	887956	-	2334	123
gene:AT1G03560	1	890155	892492	-	2338	59
gene:AT1G03590	1	894238	897718	-	3481	282
gene:AT1G03600	1	898480	899794	+	1315	150
gene:AT1G03610	1	900732	903070	+	2339	765
gene:AT1G03620	1	904032	907643	-	3612	376
gene:AT1G03630	1	907523	909650	+	2128	133
gene:AT1G03650	1	910023	911292	-	1270	15
gene:AT1G03660	1	911310	913808	-	2499	10
gene:AT1G03670	1	914222	916222	-	2001	0
gene:AT1G03680	1	916772	918064	-	1293	264
gene:AT1G03687	1	918285	920592	+	2308	87
gene:AT1G03700	1	920950	922098	+	1149	6
gene:AT1G03710	1	923390	924730	+	1341	9
gene:AT1G03720	1	924896	926373	-	1478	0
gene:AT1G03730	1	930715	931985	-	1271	30
gene:AT1G03740	1	933426	937152	+	3727	287
gene:AT1G03750	1	937826	941162	+	3337	267
gene:AT1G03760	1	941062	943377	-	2316	101
gene:AT1G03770	1	944572	947682	+	3111	175
gene:AT1G03780	1	947520	951850	-	4331	189
gene:AT1G03790	1	954290	956144	+	1855	1
gene:AT1G03800	1	957104	958383	-	1280	3
gene:AT1G03810	1	958759	959609	+	851	0
gene:AT1G03820	1	959790	960916	-	1127	308
gene:AT1G03830	1	961684	966790	-	5107	113
gene:AT1G03840	1	967470	970334	-	2865	16
gene:AT1G03850	1	975871	977911	-	2041	133
gene:AT1G03860	1	979307	982002	-	2696	439
gene:AT1G03870	1	982381	983544	-	1164	127
gene:AT1G03880	1	985751	988146	+	2396	0
gene:AT1G03890	1	989198	991020	+	1823	0
gene:AT1G03900	1	991106	993126	+	2021	571
gene:AT1G03905	1	993400	995989	+	2590	76
gene:AT1G03910	1	996076	1000629	+	4554	478
gene:AT1G03920	1	1001116	1004410	+	3295	10
gene:AT1G03930	1	1004688	1008370	+	3683	176
gene:AT1G03940	1	1009228	1011145	-	1918	37
gene:AT1G03950	1	1011151	1013365	-	2215	59
gene:AT1G03960	1	1013643	1017957	+	4315	163
gene:AT1G03970	1	1018058	1019247	+	1190	229
gene:AT1G03980	1	1019311	1022108	-	2798	9
gene:AT1G03982	1	1022251	1023719	-	1469	0
gene:AT1G03990	1	1024740	1027616	+	2877	40
gene:AT1G04000	1	1027853	1029119	-	1267	101
gene:AT1G04010	1	1030957	1036264	-	5308	53
gene:AT1G04020	1	1036493	1040262	+	3770	76
gene:AT1G04030	1	1040375	1042892	+	2518	195
gene:AT1G04040	1	1042362	1043887	-	1526	279
gene:AT1G04050	1	1045598	1049864	-	4267	41
gene:AT1G04070	1	1050505	1051194	-	690	78
gene:AT1G04080	1	1051312	1056827	+	5516	1259
gene:AT1G04090	1	1057041	1059454	+	2414	9
gene:AT1G04100	1	1059470	1061209	+	1740	31
gene:AT1G04105	1	1059730	1060348	-	619	19
gene:AT1G04110	1	1061297	1063809	-	2513	0
gene:AT1G04120	1	1064264	1071080	-	6817	1137
gene:AT1G04130	1	1073274	1075568	+	2295	72
gene:AT1G04140	1	1075543	1080630	-	5088	784
gene:AT1G04150	1	1081024	1084431	-	3408	5
gene:AT1G04160	1	1086170	1096510	+	10341	68
gene:AT1G04170	1	1096882	1099901	+	3020	630
gene:AT1G04180	1	1104493	1106241	+	1749	1
gene:AT1G04190	1	1106354	1108725	-	2372	225
gene:AT1G04200	1	1109395	1114155	+	4761	373
gene:AT1G04210	1	1114375	1119739	+	5365	544
gene:AT1G04220	1	1119699	1122786	-	3088	528
gene:AT1G04230	1	1125515	1128788	+	3274	109
gene:AT1G04240	1	1128149	1129689	-	1541	10
gene:AT1G04250	1	1136078	1138663	+	2586	176
gene:AT1G04260	1	1140278	1141564	-	1287	64
gene:AT1G04270	1	1141558	1143130	-	1573	2234
gene:AT1G04280	1	1143436	1147091	-	3656	589
gene:AT1G04290	1	1147297	1148533	-	1237	87
gene:AT1G04300	1	1148564	1154667	-	6104	691
gene:AT1G04310	1	1154740	1157813	-	3074	99
gene:AT1G04330	1	1161289	1161982	-	694	7
gene:AT1G04340	1	1162905	1164861	-	1957	140
gene:AT1G04350	1	1164910	1167135	+	2226	88
gene:AT1G04360	1	1167288	1169034	-	1747	156
gene:AT1G04370	1	1175033	1175768	+	736	0
gene:AT1G04380	1	1176544	1178488	-	1945	3
gene:AT1G04390	1	1179310	1183704	-	4395	77
gene:AT1G04400	1	1185512	1188696	-	3185	682
gene:AT1G04410	1	1188995	1191458	-	2464	4326
gene:AT1G04420	1	1191519	1193884	+	2366	98
gene:AT1G04430	1	1197956	1201579	+	3624	396
gene:AT1G04440	1	1202160	1206009	+	3850	1229
gene:AT1G04445	1	1206760	1207939	+	1180	3
gene:AT1G04450	1	1208521	1210026	+	1506	0
gene:AT1G04455	1	1210269	1210622	+	354	0
gene:AT1G04470	1	1210924	1214841	-	3918	1
gene:AT1G04480	1	1215925	1217471	+	1547	467
gene:AT1G04490	1	1217690	1220899	-	3210	10
gene:AT1G04500	1	1221411	1224539	-	3129	2
gene:AT1G04510	1	1226483	1230947	+	4465	493
gene:AT1G04520	1	1231452	1234032	+	2581	62
gene:AT1G04530	1	1234176	1236206	-	2031	157
gene:AT1G04540	1	1236754	1239199	+	2446	69
gene:AT1G04550	1	1240294	1242157	+	1864	111
gene:AT1G04555	1	1242506	1244244	+	1739	41
gene:AT1G04560	1	1244947	1246059	+	1113	0
gene:AT1G04570	1	1246601	1248876	-	2276	4
gene:AT1G04580	1	1252005	1257893	-	5889	4
gene:AT1G04590	1	1258556	1261470	-	2915	183
gene:AT1G04600	1	1261762	1272588	+	10827	5
gene:AT1G04610	1	1279351	1281618	+	2268	0
gene:AT1G04620	1	1282163	1286619	-	4457	54
gene:AT1G04625	1	1287831	1289820	-	1990	0
gene:AT1G04630	1	1289734	1291112	-	1379	100
gene:AT1G04635	1	1291300	1292024	+	725	17
gene:AT1G04640	1	1292023	1293398	+	1376	19
gene:AT1G04645	1	1293770	1294263	-	494	0
gene:AT1G04650	1	1294627	1299023	-	4397	29
gene:AT1G04660	1	1300368	1301773	-	1406	1
gene:AT1G04670	1	1301829	1302758	+	930	0
gene:AT1G04680	1	1303467	1307973	-	4507	549
gene:AT1G04690	1	1313443	1315823	+	2381	511
gene:AT1G04700	1	1316139	1321000	+	4862	28
gene:AT1G04710	1	1321885	1324840	+	2956	179
gene:AT1G04730	1	1325099	1331169	-	6071	100
gene:AT1G04750	1	1331466	1333651	-	2186	423
gene:AT1G04760	1	1334533	1336704	+	2172	50
gene:AT1G04770	1	1336274	1337849	-	1576	88
gene:AT1G04778	1	1339588	1340565	+	978	3
gene:AT1G04780	1	1340553	1343793	-	3241	355
gene:AT1G04790	1	1344989	1348868	+	3880	146
gene:AT1G04800	1	1348452	1349478	-	1027	7
gene:AT1G04810	1	1350080	1355466	+	5387	712
gene:AT1G04820	1	1356084	1358547	-	2464	2246
gene:AT1G04830	1	1358574	1362019	-	3446	223
gene:AT1G04840	1	1362227	1365027	-	2801	14
gene:AT1G04850	1	1365107	1368940	-	3834	882
gene:AT1G04860	1	1369036	1373103	-	4068	184
gene:AT1G04870	1	1373234	1375821	-	2588	254
gene:AT1G04880	1	1375824	1379228	-	3405	12
gene:AT1G04890	1	1380382	1382599	-	2218	0
gene:AT1G04895	1	1383008	1383422	-	415	0
gene:AT1G04900	1	1383841	1387895	+	4055	86
gene:AT1G04910	1	1387871	1391381	-	3511	181
gene:AT1G04920	1	1391434	1395953	-	4520	2
gene:AT1G04930	1	1396265	1399122	-	2858	36
gene:AT1G04945	1	1399174	1403112	+	3939	199
gene:AT1G04940	1	1399182	1400830	+	1649	144
gene:AT1G04950	1	1403085	1407531	-	4447	267
gene:AT1G04960	1	1407772	1410933	-	3162	131
gene:AT1G04970	1	1411088	1413627	+	2540	177
gene:AT1G04980	1	1413644	1416218	-	2575	141
gene:AT1G04985	1	1416342	1419027	-	2686	97
gene:AT1G04990	1	1418612	1421863	-	3252	236
gene:AT1G05000	1	1425539	1428869	+	3331	66
gene:AT1G05005	1	1429048	1430056	+	1009	0
gene:AT1G05010	1	1431177	1433010	-	1834	249
gene:AT1G05020	1	1435155	1437763	-	2609	2
gene:AT1G05030	1	1438048	1441933	-	3886	61
gene:AT1G05035	1	1444983	1446116	+	1134	0
gene:AT1G05040	1	1447369	1448463	-	1095	0
gene:AT1G05055	1	1448631	1450901	-	2271	80
gene:AT1G05060	1	1451002	1452872	-	1871	189
gene:AT1G05065	1	1454606	1455322	-	717	12
gene:AT1G05070	1	1457007	1458802	-	1796	71
gene:AT1G05080	1	1459091	1460579	+	1489	4
gene:AT1G05085	1	1460988	1461670	+	683	0
gene:AT1G05087	1	1463108	1464173	+	1066	25
gene:AT1G05090	1	1464239	1465875	+	1637	18
gene:AT1G05100	1	1469541	1470881	+	1341	74
gene:AT1G05120	1	1471323	1476289	-	4967	333
gene:AT1G05136	1	1478923	1479063	+	141	0
gene:AT1G05140	1	1482546	1484059	+	1514	88
gene:AT1G05150	1	1484067	1487027	-	2961	238
gene:AT1G05160	1	1487378	1491005	-	3628	54
gene:AT1G05170	1	1490974	1494248	-	3275	37
gene:AT1G05180	1	1498114	1501953	-	3840	324
gene:AT1G05190	1	1502251	1503853	-	1603	417
gene:AT1G05200	1	1504941	1509152	+	4212	221
gene:AT1G05205	1	1509103	1510341	-	1239	120
gene:AT1G05210	1	1510404	1511683	+	1280	21
gene:AT1G05220	1	1511895	1512842	+	948	5
gene:AT1G05230	1	1512896	1518900	-	6005	14
gene:AT1G05240	1	1520278	1523023	+	2746	0
gene:AT1G05250	1	1525601	1527360	-	1760	0
gene:AT1G05260	1	1529767	1531484	+	1718	577
gene:AT1G05270	1	1531641	1534767	-	3127	215
gene:AT1G05280	1	1534830	1537602	-	2773	1
gene:AT1G05290	1	1539152	1540562	-	1411	0
gene:AT1G05291	1	1541348	1542432	-	1085	0
gene:AT1G05300	1	1544927	1547849	-	2923	72
gene:AT1G05310	1	1550503	1552587	-	2085	34
gene:AT1G05320	1	1553568	1557848	+	4281	184
gene:AT1G05330	1	1558058	1558745	+	688	1
gene:AT1G05340	1	1558778	1559917	-	1140	67
gene:AT1G05350	1	1560678	1564409	-	3732	233
gene:AT1G05360	1	1564491	1567508	+	3018	111
gene:AT1G05370	1	1569147	1572469	-	3323	72
gene:AT1G05380	1	1576822	1582672	+	5851	328
gene:AT1G05385	1	1582671	1583760	-	1090	19
gene:AT1G05400	1	1584073	1585421	+	1349	36
gene:AT1G05410	1	1585371	1587794	-	2424	154
gene:AT1G05420	1	1589973	1591012	+	1040	4
gene:AT1G05430	1	1594053	1595923	-	1871	80
gene:AT1G05440	1	1596007	1597940	-	1934	16
gene:AT1G05450	1	1599876	1601214	+	1339	92
gene:AT1G05460	1	1601148	1605034	-	3887	168
gene:AT1G05470	1	1607202	1611840	-	4639	173
gene:AT1G05490	1	1618504	1623489	-	4986	39
gene:AT1G05500	1	1624919	1629289	+	4371	260
gene:AT1G05510	1	1629446	1630863	+	1418	7
gene:AT1G05520	1	1630849	1636018	-	5170	393
gene:AT1G05530	1	1636249	1637914	-	1666	0
gene:AT1G05540	1	1639223	1640879	+	1657	3
gene:AT1G05550	1	1640959	1643917	-	2959	0
gene:AT1G05560	1	1645300	1647435	-	2136	460
gene:AT1G05570	1	1647575	1659611	-	12037	1586
gene:AT1G05575	1	1661550	1662259	-	710	51
gene:AT1G05577	1	1662352	1664398	-	2047	9
gene:AT1G05580	1	1665356	1668924	-	3569	0
gene:AT1G05590	1	1669350	1671902	+	2553	78
gene:AT1G05600	1	1671916	1673923	+	2008	37
gene:AT1G05610	1	1673861	1676077	-	2217	17
gene:AT1G05615	1	1677507	1678270	-	764	0
gene:AT1G05620	1	1678881	1681710	+	2830	232
gene:AT1G05630	1	1682224	1687363	+	5140	72
gene:AT1G05640	1	1687436	1689955	-	2520	27
gene:AT1G05650	1	1690002	1692179	-	2178	1
gene:AT1G05660	1	1694070	1696191	-	2122	0
gene:AT1G05670	1	1697541	1701065	-	3525	34
gene:AT1G05675	1	1701116	1702749	-	1634	36
gene:AT1G05680	1	1703002	1704838	-	1837	28
gene:AT1G05690	1	1706736	1709360	+	2625	13
gene:AT1G05700	1	1709673	1713474	+	3802	16
gene:AT1G05710	1	1714818	1717290	+	2473	1181
gene:AT1G05720	1	1717389	1718909	-	1521	108
gene:AT1G05730	1	1718555	1720587	+	2033	21
gene:AT1G05740	1	1720593	1721309	+	717	0
gene:AT1G05750	1	1721509	1724734	+	3226	238
gene:AT1G05760	1	1723734	1724534	-	801	195
gene:AT1G05770	1	1725388	1726321	-	934	71
gene:AT1G05780	1	1726558	1728520	+	1963	29
gene:AT1G05783	1	1728658	1729789	-	1132	15
gene:AT1G05785	1	1730242	1732657	+	2416	42
gene:AT1G05790	1	1732802	1737583	+	4782	225
gene:AT1G05800	1	1741204	1742619	+	1416	18
gene:AT1G05805	1	1744444	1747734	+	3291	222
gene:AT1G05810	1	1748259	1749526	+	1268	12
gene:AT1G05820	1	1749478	1754036	+	4559	23
gene:AT1G05830	1	1754130	1761909	+	7780	368
gene:AT1G05835	1	1762145	1762814	+	670	13
gene:AT1G05840	1	1762734	1766283	-	3550	160
gene:AT1G05850	1	1766503	1768837	-	2335	1212
gene:AT1G05860	1	1768986	1771286	+	2301	93
gene:AT1G05870	1	1771385	1773385	-	2001	193
gene:AT1G05880	1	1775643	1778553	+	2911	3
gene:AT1G05890	1	1779256	1784675	+	5420	512
gene:AT1G05894	1	1784736	1786326	+	1591	4
gene:AT1G05900	1	1786849	1789737	+	2889	47
gene:AT1G05910	1	1790216	1796715	+	6500	422
gene:AT1G05920	1	1796778	1798254	+	1477	0
gene:AT1G05930	1	1799418	1800933	+	1516	0
